Time (Quarter),TotalWine
1,1.486
2,1.915
3,1.844
4,2.808
5,1.287
6,1.861
7,2.034
8,2.739
9,1.656
10,1.918
11,2.265
12,2.902
13,1.691
14,2.033
15,2.141
16,2.932
17,1.847
18,2.157
19,2.318
20,2.974
21,1.977
22,2.328
23,2.479
24,3.099
25,2.141
26,2.299
27,2.606
28,3.33
29,2.29
30,2.499
31,2.524
32,2.887
33,2.007
34,2.33
35,2.384
36,3.696
37,2.157
38,2.529
39,2.395
40,3.447
41,2.499
42,2.499
43,2.504
44,3.834
45,2.246
46,2.538
47,2.704
48,3.321
49,2.433
50,2.673
51,2.647
